CMDLINE c:\users\leon\appdata\local\programs\python\python37\python.exe main.py 6x6_3.csv
MEM 0.406250 1579700027.1655
MEM 13.050781 1579700027.2655
MEM 21.468750 1579700027.3659
MEM 30.937500 1579700027.4661
MEM 38.523438 1579700027.5662
MEM 44.183594 1579700027.6664
MEM 47.585938 1579700027.7668
MEM 47.585938 1579700027.8670
MEM 47.585938 1579700027.9676
MEM 47.585938 1579700028.0684
MEM 47.585938 1579700028.1685
MEM 47.585938 1579700028.2688
MEM 47.585938 1579700028.3694
MEM 47.585938 1579700028.4696
MEM 47.585938 1579700028.5698
MEM 47.585938 1579700028.6700
MEM 47.585938 1579700028.7702
MEM 47.585938 1579700028.8709
MEM 47.585938 1579700028.9711
MEM 47.585938 1579700029.0717
MEM 47.585938 1579700029.1724
MEM 47.585938 1579700029.2726
MEM 47.585938 1579700029.3729
MEM 47.585938 1579700029.4730
MEM 47.585938 1579700029.5732
MEM 47.585938 1579700029.6734
MEM 47.585938 1579700029.7741
MEM 47.656250 1579700029.8748
MEM 47.746094 1579700029.9750
MEM 47.812500 1579700030.0751
MEM 47.812500 1579700030.1753
MEM 47.875000 1579700030.2760
MEM 47.875000 1579700030.3767
MEM 47.875000 1579700030.4779
MEM 48.062500 1579700030.5786
MEM 48.062500 1579700030.6788
MEM 48.078125 1579700030.7790
MEM 48.125000 1579700030.8802
MEM 48.136719 1579700030.9808
MEM 48.152344 1579700031.0810
MEM 48.179688 1579700031.1812
MEM 48.187500 1579700031.2814
MEM 48.250000 1579700031.3910
MEM 48.250000 1579700031.4922
MEM 48.250000 1579700031.5929
MEM 48.250000 1579700031.6930
MEM 48.312500 1579700031.7937
MEM 48.312500 1579700031.8939
MEM 48.312500 1579700031.9945
MEM 48.328125 1579700032.0952
MEM 48.339844 1579700032.1954
MEM 48.363281 1579700032.2956
MEM 48.437500 1579700032.3958
MEM 48.437500 1579700032.4960
MEM 48.437500 1579700032.5964
MEM 48.500000 1579700032.6967
MEM 48.500000 1579700032.7969
MEM 48.500000 1579700032.8970
MEM 48.500000 1579700032.9971
MEM 48.500000 1579700033.0973
MEM 49.000000 1579700033.1974
MEM 49.062500 1579700033.2976
MEM 49.062500 1579700033.3983
MEM 49.062500 1579700033.4985
MEM 49.062500 1579700033.5986
MEM 49.097656 1579700033.6988
MEM 49.187500 1579700033.7990
MEM 49.250000 1579700033.8992
MEM 49.312500 1579700033.9994
MEM 49.332031 1579700034.0999
MEM 49.363281 1579700034.2011
MEM 49.437500 1579700034.3013
MEM 49.437500 1579700034.4014
MEM 49.500000 1579700034.5017
MEM 49.500000 1579700034.6024
MEM 49.500000 1579700034.7025
MEM 49.500000 1579700034.8027
MEM 49.500000 1579700034.9029
MEM 49.500000 1579700035.0036
MEM 49.500000 1579700035.1044
MEM 49.500000 1579700035.2045
MEM 49.500000 1579700035.3047
MEM 28.273438 1579700035.4117
